"NOME_PESSOA","CNS","CPF","PIS","DATA_NASCIMENTO","NOME_MAE","ID_ORIGEM","DATA_EVENTO","COMPETENCIA","ID_EVENTO_ORIGEM","STATUS","DATA_INATIVACAO","GESTACAO","PESO","ALTURA","DUM","DPP","SEMANA_GESTACIONAL","LOCAL","PROFISSIONAL"
"HELLENA FERREIRA BORGES","898005161124409",,,"2017-04-09","ELIETH FEREIRA SILVA","3720","2019-02-18","2019-12","13",,,,,,,,,,
"DAVI LUIS ALVES FERREIRA DE SOUSA","708104525867832","07387357285",,"2017-03-05","MAYARA ALVES DOS SANTOS SILVA","3962","2019-03-25","2019-12","13",,,,,,,,,,
"ARTHUR DE ALMEIDA VIANA BARBOSA","708704141963694",,,"2015-08-18","MIKARLA LIANA COSTA DE ALMEIDA","2421","2019-09-26","2019-12","13",,,,,,,,,,
"RAYLA ISADORA SILVA VALE DA LUZ","898004940848398",,,"2015-12-07","UBIRACIRA SILVA VALE","2426","2018-02-05","2019-12","13",,,,"75.3","1.56",,,,,
"RAYLA ISADORA SILVA VALE DA LUZ","898004940848398",,,"2015-12-07","UBIRACIRA SILVA VALE","2426","2018-04-02","2019-12","13",,,,"74.6",,,,,,
"RAYLA ISADORA SILVA VALE DA LUZ","898004940848398",,,"2015-12-07","UBIRACIRA SILVA VALE","2426","2019-10-14","2019-12","13",,,,,,,,,,
"ELIAS DA SILVA MELO","898004053528641",,,"2013-05-29","NUBIANA DA SILVA MELO","3050","2018-08-30","2019-12","13",,,,,,,,,,
"JOSE FELIPE PORFIRIO DE OLIVEIRA","898004198797155",,"23690599225","2014-06-30","INGRIDIS PORFIRIO DA SILVA","3778","2018-11-12","2019-12","13",,,,"85.3",,,,,,
"JOSE FELIPE PORFIRIO DE OLIVEIRA","898004198797155",,"23690599225","2014-06-30","INGRIDIS PORFIRIO DA SILVA","3778","2019-04-29","2019-12","13",,,,"90",,,,,,
"JOSE FELIPE PORFIRIO DE OLIVEIRA","898004198797155",,"23690599225","2014-06-30","INGRIDIS PORFIRIO DA SILVA","3778","2019-01-21","2019-12","13",,,,"89.5","1.67",,,,,
"CALEBE SANTANA PRATES","703205604479699",,,"2013-08-18","MARIA GORETE SANTANA PRATES","3105","2018-08-08","2019-12","13",,,,"60",,,,,,
"MARIA EDUARDA DE ALMEIDA CUNHA","898004808703213",,,"2015-06-10","GILVANEIDE PEREIRA DE ALMEIDA","3782","2018-10-02","2019-12","13",,,,"64",,,,,,
"MARIA EDUARDA DE ALMEIDA CUNHA","898004808703213",,,"2015-06-10","GILVANEIDE PEREIRA DE ALMEIDA","3782","2018-10-16","2019-12","13",,,,"64.6",,,,,,
"MARIA EDUARDA DE ALMEIDA CUNHA","898004808703213",,,"2015-06-10","GILVANEIDE PEREIRA DE ALMEIDA","3782","2019-11-14","2019-12","13",,,,,,,,,,
"HEYTOR MOREIRA MACIANO","700700994656570",,,"2015-10-15","ADRIANA DE LIMA MOREIRA","3803","2018-08-20","2019-12","13",,,,"60",,,,,,
"GUSTAVO DA SILVA ANDRADE","898004532522406",,,"2013-10-23","LILIANE DE OLIOVEIRA ANDRADE","3817","2018-12-03","2019-12","13",,,,"15.8",,,,,,
"HELOISA EDUARDA MUNIZ CASTRO","898005127725136",,,"2016-07-31","SHIRLEY MUNIZ RIBEIRO CASTRO","4027","2018-09-14","2019-12","13",,,,"20.8","1.1",,,,,
"HELOISA EDUARDA MUNIZ CASTRO","898005127725136",,,"2016-07-31","SHIRLEY MUNIZ RIBEIRO CASTRO","4027","2019-04-03","2019-12","13",,,,"21","1.14",,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2018-01-29","2019-12","13",,,,"81.3","1.5",,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2018-02-07","2019-12","13",,,,"80.4","1.5",,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2018-03-05","2019-12","13",,,,,,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2018-08-27","2019-12","13",,,,,,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2018-09-06","2019-12","13",,,,,,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2018-09-18","2019-12","13",,,,,,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2018-09-28","2019-12","13",,,,,,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2018-11-07","2019-12","13",,,,"79.4",,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2019-07-29","2019-12","13",,,,,,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2019-06-03","2019-12","13",,,,,,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2019-05-14","2019-12","13",,,,,,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2019-01-18","2019-12","13",,,,,,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2019-07-05","2019-12","13",,,,,,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2019-09-11","2019-12","13",,,,,,,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2019-11-14","2019-12","13",,,,"77.5","1.49",,,,,
"THAYZE MARGARIDA DE FREITAS CASTRO","898004183915327",,,"2013-09-02","BIANCA LINS VIEIRA CASTRO","4030","2019-10-11","2019-12","13",,,,"79.1","1.46",,,,,
"DANILO SANTOS SOUZA","898004207632222",,,"2013-03-24","RAQUEL SILVA SANTOS","4054","2018-09-12","2019-12","13",,,,,,,,,,
"DANILO SANTOS SOUZA","898004207632222",,,"2013-03-24","RAQUEL SILVA SANTOS","4054","2019-03-01","2019-12","13",,,,"50",,,,,,
"DANILO SANTOS SOUZA","898004207632222",,,"2013-03-24","RAQUEL SILVA SANTOS","4054","2018-12-18","2019-12","13",,,,"48.7",,,,,,
"DANILO SANTOS SOUZA","898004207632222",,,"2013-03-24","RAQUEL SILVA SANTOS","4054","2019-06-26","2019-12","13",,,,,,,,,,
"DANILO SANTOS SOUZA","898004207632222",,,"2013-03-24","RAQUEL SILVA SANTOS","4054","2019-10-07","2019-12","13",,,,,,,,,,
"DANILO SANTOS SOUZA","898004207632222",,,"2013-03-24","RAQUEL SILVA SANTOS","4054","2019-09-04","2019-12","13",,,,,,,,,,
"PEDRO HENRIQUE DE OLIVEIRA CLARINDO","898004508449001",,,"2014-08-23","CRISTINA HOLANDA DE OLIVEIRA","2523","2019-09-16","2019-12","13",,,,,,,,,,
"PEDRO HENRIQUE DE OLIVEIRA CLARINDO","898004508449001",,,"2014-08-23","CRISTINA HOLANDA DE OLIVEIRA","2523","2019-08-26","2019-12","13",,,,,,,,,,
"PEDRO HENRIQUE DE OLIVEIRA CLARINDO","898004508449001",,,"2014-08-23","CRISTINA HOLANDA DE OLIVEIRA","2523","2019-11-18","2019-12","13",,,,,,,,,,
"ZAYANE SANTOS SOUZA SALES","898005164660832",,,"2017-05-03","MARIA RAQUEL SANTOS DE SOUZA SALES","3170","2018-08-20","2019-12","13",,,,,,,,,,
"MIGUEL FERREIRA DO CARMO","898004051370781",,,"2013-05-01","NATALIA RAMALHO FERREIRA","3214","2018-04-02","2019-12","13",,,,"60",,,,,,
"DANIEL ANDRES CAMPERO RODRIGUEZ","898005159752953",,,"2014-09-05","ALBENIS DEL VALLE RORIGUEZ ZAPATA","3240","2018-07-30","2019-12","13",,,,"47",,,,,,
"DANIEL ANDRES CAMPERO RODRIGUEZ","898005159752953",,,"2014-09-05","ALBENIS DEL VALLE RORIGUEZ ZAPATA","3240","2019-02-18","2019-12","13",,,,,,,,,,
"DANIEL ANDRES CAMPERO RODRIGUEZ","898005159752953",,,"2014-09-05","ALBENIS DEL VALLE RORIGUEZ ZAPATA","3240","2019-02-04","2019-12","13",,,,,,,,,,
"DIOGO SOUZA ROCHA","898004808266662",,,"2013-09-20","FABIOLA SOUZA DUARTE","4103","2018-10-02","2019-12","13",,,,,,,,,,
"ANTHONY GABRIEL ARAUJO OLIVEIRA","705003645005957",,,"2016-10-30","RAYANDRE JAINE PINTO ARAUJO","1955","2018-11-22","2019-12","13",,,,,,,,,,
"LARA MIKAELLY PEREIRA DA LUZ","898003065989648",,,"2013-07-24","CLEDIANE PEREIRA DA LUZ","1968","2019-08-05","2019-12","13",,,,,,,,,,
"LARA MIKAELLY PEREIRA DA LUZ","898003065989648",,,"2013-07-24","CLEDIANE PEREIRA DA LUZ","1968","2019-11-11","2019-12","13",,,,,,,,,,
"LARA MIKAELLY PEREIRA DA LUZ","898003065989648",,,"2013-07-24","CLEDIANE PEREIRA DA LUZ","1968","2019-08-26","2019-12","13",,,,,,,,,,
"LARA MIKAELLY PEREIRA DA LUZ","898003065989648",,,"2013-07-24","CLEDIANE PEREIRA DA LUZ","1968","2019-09-23","2019-12","13",,,,,,,,,,
"ELTON HENRRIQUE JUNIOR OLIVEIRA DA SILVA","700303942158037",,,"2016-07-31","JEANE DA SILVA ROQUE","2616","2018-12-06","2019-12","13",,,,"48.5",,,,,,
"ELTON HENRRIQUE JUNIOR OLIVEIRA DA SILVA","700303942158037",,,"2016-07-31","JEANE DA SILVA ROQUE","2616","2019-01-21","2019-12","13",,,,"48.5",,,,,,
"MARIA EMANUELLY ALVES COSTA","898004606013739",,,"2015-01-15","MONICA DA SILVA COSTA","3284","2018-09-17","2019-12","13",,,,,,,,,,
"MARIA EMANUELLY ALVES COSTA","898004606013739",,,"2015-01-15","MONICA DA SILVA COSTA","3284","2019-02-18","2019-12","13",,,,,,,,,,
"AGATHA ALBARADO MARTINS","700100925524011",,,"2015-02-19","GREYCE KELY DE CASTRO ALBARADO","4120","2018-08-14","2019-12","13",,,,,,,,,,
"PAULO HENRIQUE NUNES SOUZA MOTA MORAES","898004700062969",,,"2015-03-18","ELCILENE NUNES DE SOUZA","4121","2019-01-18","2019-12","13",,,,"53.7",,,,,,
"PAULO HENRIQUE NUNES SOUZA MOTA MORAES","898004700062969",,,"2015-03-18","ELCILENE NUNES DE SOUZA","4121","2018-12-18","2019-12","13",,,,"54.5",,,,,,
"YANNA LAVIGNE ALVES DE MELO","703409706699800","05577123275",,"2015-05-22","EDILENE ALVES COSTA","2006","2018-03-22","2019-12","13",,,,"102","1.6",,,,,
"REBECA DARLA ROCHA OLIVEIRA","898004813108166",,,"2015-06-27","NAYARA ROCHA DE AQUINO","2652","2018-04-10","2019-12","13",,,,"87.6",,,,,,
"DANILO GAMA SILVA","898004869975817",,,"2014-05-19","SUMAYKA DA MOTA GAMA","4161","2018-10-17","2019-12","13",,,,,,,,,,
"DANILO GAMA SILVA","898004869975817",,,"2014-05-19","SUMAYKA DA MOTA GAMA","4161","2019-02-22","2019-12","13",,,,,,,,,,
"NICOLLY LENAY LOURENCO GOMES","898004125889661",,,"2013-04-18","EVELIN LOURENCO DE CASTRO","4181","2018-08-20","2019-12","13",,,,,,,,,,
"TITO COSTA VERIATO","705002073190451",,,"2014-06-17","SABRINA COSTA TAVARES","4227","2018-11-21","2019-12","13",,,,,,,,,,
"DAVI MURILLO SOUZA OLIVEIRA","898004878192404",,,"2015-10-10","PAULA LAVINA SOUZA OLIVEIRA","2065","2018-01-25","2019-12","13",,,,"58.1","1.43",,,,,
"DAVI MURILLO SOUZA OLIVEIRA","898004878192404",,,"2015-10-10","PAULA LAVINA SOUZA OLIVEIRA","2065","2018-05-14","2019-12","13",,,,"57.4",,,,,,
"DAVI MURILLO SOUZA OLIVEIRA","898004878192404",,,"2015-10-10","PAULA LAVINA SOUZA OLIVEIRA","2065","2018-11-06","2019-12","13",,,,,,,,,,
"DAVI MURILLO SOUZA OLIVEIRA","898004878192404",,,"2015-10-10","PAULA LAVINA SOUZA OLIVEIRA","2065","2019-05-13","2019-12","13",,,,,,,,,,
"NEUMA VICTORIA MAFRA DOS REIS","898004822156216",,,"2015-07-23","ANDREZA SONAIRA MAFRA DOS REIS","2083","2018-07-31","2019-12","13",,,,"67.5",,,,,,
"ARTHUR LIMA DE SOUSA","898005146206246",,,"2016-09-04","IRANEIDE FERREIRA LIMA","2719","2019-10-07","2019-12","13",,,,,,,,,,
"MIZAEL PABLO OLIVEIRA MANDUCA","898004804017498",,,"2014-11-27","LEONILDE OLIVEIRA MANDUCA","4265","2018-01-23","2019-12","13",,,,"90.4",,,,,,
"MIZAEL PABLO OLIVEIRA MANDUCA","898004804017498",,,"2014-11-27","LEONILDE OLIVEIRA MANDUCA","4265","2018-03-02","2019-12","13",,,,,,,,,,
"MUNIQUE LORRANE LEMOS FEITOZA","705004854225853","03549493223",,"2013-01-04","SARAH LEMOS BARBOSA","2765","2018-02-05","2019-12","13",,,,,,,,,,
"GABRIELA CABRAL BRANDAO","898004008334612",,,"2013-04-04","DANIELY PEREIRA CABRAL","3481","2018-01-25","2019-12","13",,,,"62","1.64",,,,,
"GABRIELA CABRAL BRANDAO","898004008334612",,,"2013-04-04","DANIELY PEREIRA CABRAL","3481","2018-03-15","2019-12","13",,,,"62.4",,,,,,
"GABRIELA CABRAL BRANDAO","898004008334612",,,"2013-04-04","DANIELY PEREIRA CABRAL","3481","2019-11-04","2019-12","13",,,,,,,,,,
"MARIA FERNANDA LIMA DOS SANTOS","898004945740021",,,"2016-01-18","MELINA GUILHERME DOS SANTOS","6056","2018-02-06","2019-12","13",,,,,,,,,,
"MARIA FERNANDA LIMA DOS SANTOS","898004945740021",,,"2016-01-18","MELINA GUILHERME DOS SANTOS","6056","2018-12-03","2019-12","13",,,,"42","1.41",,,,,
"MARIA FERNANDA LIMA DOS SANTOS","898004945740021",,,"2016-01-18","MELINA GUILHERME DOS SANTOS","6056","2019-03-13","2019-12","13",,,,"14.7","1.4",,,,,
"JULIO WANDERSON SILVA TEIXEIRA","898004035859194",,,"2013-05-10","JULIANA EDUARDA TEIXEIRA","6077","2018-05-21","2019-12","13",,,,,,,,,,
"JULIO WANDERSON SILVA TEIXEIRA","898004035859194",,,"2013-05-10","JULIANA EDUARDA TEIXEIRA","6077","2018-11-30","2019-12","13",,,,,,,,,,
"ANDRE PIRLO CAULA DE SOUZA","898004192889449",,,"2014-06-23","TATIANE DE MOURA CAULA","5632","2019-03-18","2019-12","13",,,,"85.5",,,,,,
"LUNA DHIENYFER DA SILVA CAVALCANT","898005144931393",,,"2015-11-06","DENISE PEREIRA DA SILVA","5690","2018-02-26","2019-12","13",,,,"66.4","1.54",,,,,
"LUNA DHIENYFER DA SILVA CAVALCANT","898005144931393",,,"2015-11-06","DENISE PEREIRA DA SILVA","5690","2019-10-07","2019-12","13",,,,,,,,,,
"GUILHERME MANOEL MARQUES DA SILVA","701303616647630","07012907223",,"2013-12-16","MICAELE DA SILVA RAPOSO","5100","2019-07-10","2019-12","13",,,,,,,,,,
"IGOR MESSIAS MORAIS CONCECAO","898004207632478",,,"2013-08-14","VALCIMAR BARBOSA MORAIS","5123","2019-11-21","2019-12","13",,,,,,,,,,
"VICTOR SAMUEL CASTRO PINHEIRO DA SILVA","898004532122033",,,"2014-10-10","LAIZ FERNANDA DAS CHAGAS PINHEIRO","5759","2019-11-08","2019-12","13",,,,,,,,,,
"HELOISA OLIVEIRA BACELAR","898005107933264",,,"2015-04-29","NATALIA OLIVEIRA DO NASCIMENTO","5150","2019-04-29","2019-12","13",,,,,,,,,,
"ENZO RAFAEL DA SILVA","706305754738170","04795115273",,"2014-04-15","RAFAELA KAROLINE DA SILVA","6657","2018-04-06","2019-12","13",,,,,,,,,,
"KENNEDY KAIO OLIVEIRA KAITAN","898004940904271",,,"2013-01-25","KEITIANNE OLIVEIRA KAITAN","4519","2018-12-05","2019-12","13",,,,,,,,,,
"KENNEDY KAIO OLIVEIRA KAITAN","898004940904271",,,"2013-01-25","KEITIANNE OLIVEIRA KAITAN","4519","2019-01-08","2019-12","13",,,,"11",,,,,,
"KENNEDY KAIO OLIVEIRA KAITAN","898004940904271",,,"2013-01-25","KEITIANNE OLIVEIRA KAITAN","4519","2019-09-02","2019-12","13",,,,"12.3",,,,,,
"TICIANY RODRIGUES RANGEL MENDES","702005822797181",,,"2013-05-30","MICHELLE ELISANGELA RODRIGUES MENDES","7093","2019-12-02","2019-12","13",,,,"61","1.64",,,,,
"CESAR HENRIQUE PATRICIO HOSTINO","700509178248558","07726834250",,"2014-03-02","LEILA DA SILVA HOSTINO","4564","2018-01-04","2019-12","13",,,,"71.2","1.6",,,,,
"CESAR HENRIQUE PATRICIO HOSTINO","700509178248558","07726834250",,"2014-03-02","LEILA DA SILVA HOSTINO","4564","2018-09-21","2019-12","13",,,,"68.8",,,,,,
"CESAR HENRIQUE PATRICIO HOSTINO","700509178248558","07726834250",,"2014-03-02","LEILA DA SILVA HOSTINO","4564","2018-10-25","2019-12","13",,,,"67.3",,,,,,
"CESAR HENRIQUE PATRICIO HOSTINO","700509178248558","07726834250",,"2014-03-02","LEILA DA SILVA HOSTINO","4564","2019-08-14","2019-12","13",,,,,,,,,,
"CESAR HENRIQUE PATRICIO HOSTINO","700509178248558","07726834250",,"2014-03-02","LEILA DA SILVA HOSTINO","4564","2019-02-05","2019-12","13",,,,,,,,,,
"CESAR HENRIQUE PATRICIO HOSTINO","700509178248558","07726834250",,"2014-03-02","LEILA DA SILVA HOSTINO","4564","2019-04-17","2019-12","13",,,,,,,,,,
"CESAR HENRIQUE PATRICIO HOSTINO","700509178248558","07726834250",,"2014-03-02","LEILA DA SILVA HOSTINO","4564","2019-06-07","2019-12","13",,,,"67",,,,,,
"CESAR HENRIQUE PATRICIO HOSTINO","700509178248558","07726834250",,"2014-03-02","LEILA DA SILVA HOSTINO","4564","2019-02-25","2019-12","13",,,,"69",,,,,,
"CESAR HENRIQUE PATRICIO HOSTINO","700509178248558","07726834250",,"2014-03-02","LEILA DA SILVA HOSTINO","4564","2019-11-27","2019-12","13",,,,,,,,,,
"CHARMISSON BRASIL DE SOUSA","898003993049804",,,"2013-07-06","ODETE GOMES DE SOUSA","5242","2018-01-08","2019-12","13",,,,"81","1.55",,,,,
"DAVI LUCAS MAGALHAES JANUARIO","898004161663139",,,"2014-02-23","FRANCISCA LEDIANE CANDIDA MAGALHAES","6750","2017-12-14","2019-12","13",,,,"89.2","1.71",,,,,
"TIAGO MINAKAWA LANES","898004988008675",,,"2016-01-26","CLAUDIA LUCY MINAKAWA STRECKER","7057","2019-02-28","2019-12","13",,,,,,,,,,
"DEBORA DE SOUZA CARNEIRO","898004880070817",,,"2015-08-01","DIANA SAMUEL DE SOUZA","5325","2018-09-12","2019-12","13",,,,"64.9",,,,,,
"DEBORA DE SOUZA CARNEIRO","898004880070817",,,"2015-08-01","DIANA SAMUEL DE SOUZA","5325","2018-10-24","2019-12","13",,,,"64.7",,,,,,
"DEBORA DE SOUZA CARNEIRO","898004880070817",,,"2015-08-01","DIANA SAMUEL DE SOUZA","5325","2018-12-03","2019-12","13",,,,,,,,,,
"DEBORA DE SOUZA CARNEIRO","898004880070817",,,"2015-08-01","DIANA SAMUEL DE SOUZA","5325","2019-01-23","2019-12","13",,,,,,,,,,
"DEBORA DE SOUZA CARNEIRO","898004880070817",,,"2015-08-01","DIANA SAMUEL DE SOUZA","5325","2019-06-26","2019-12","13",,,,"64.8",,,,,,
"DEBORA DE SOUZA CARNEIRO","898004880070817",,,"2015-08-01","DIANA SAMUEL DE SOUZA","5325","2019-04-03","2019-12","13",,,,"64.5",,,,,,
"WANDERSON GABRIEL LEAL DA SILVA","898004095526086",,,"2013-11-01","ALESSANDRA LEAL DE ARAUJO","4683","2019-07-01","2019-12","13",,,,"81.5",,,,,,
"AGATHA SOPHIA SILVA DA VERA CRUZ","898004791277637",,,"2013-12-01","ROSIVANIA DA SILVA","4689","2018-01-11","2019-12","13",,,,"81.2","1.51",,,,,
"AGATHA SOPHIA SILVA DA VERA CRUZ","898004791277637",,,"2013-12-01","ROSIVANIA DA SILVA","4689","2018-08-28","2019-12","13",,,,,,,,,,
"AGATHA SOPHIA SILVA DA VERA CRUZ","898004791277637",,,"2013-12-01","ROSIVANIA DA SILVA","4689","2018-10-23","2019-12","13",,,,,,,,,,
"AGATHA SOPHIA SILVA DA VERA CRUZ","898004791277637",,,"2013-12-01","ROSIVANIA DA SILVA","4689","2019-01-09","2019-12","13",,,,,,,,,,
"AGATHA SOPHIA SILVA DA VERA CRUZ","898004791277637",,,"2013-12-01","ROSIVANIA DA SILVA","4689","2019-05-28","2019-12","13",,,,,,,,,,
"AGATHA SOPHIA SILVA DA VERA CRUZ","898004791277637",,,"2013-12-01","ROSIVANIA DA SILVA","4689","2019-08-26","2019-12","13",,,,,,,,,,
