"NOME","CNS","CPF","PIS","DATA_NASCIMENTO","NOME_MAE","ID_ORIGEM","DATA_EVENTO","COMPETENCIA","ID_EVENTO_ORIGEM","STATUS","DATA_INATIVACAO","GESTACAO","PESO","ALTURA","DPP","DUM","SEMANA_GESTACAO","UBS","PROFISSIONAL"
"JORDANIA CRISTINA MENDES","704707743840337",,,"1991-09-11","IRENE MENDES DA ROCHA","735","2018-09-27","2019-12","1","ATIVO",,,,,"2018-11-12","2018-02-05",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"THAYLANAN DUARTE","705408407617492",,,"1994-10-11","ALCINEIA ANGELO DUARTE","794","2019-11-05","2019-12","1","ATIVO",,,,,"2020-06-17","2019-09-10",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"NATALIA SAMPAIO DA SILVA","706005802017744",,,"1998-11-22","FABIANA SAMPAIO PINTO","813","2018-12-27","2019-12","1","ATIVO",,,,,"2019-07-12","2018-10-05",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"NATALIA SAMPAIO DA SILVA","706005802017744",,,"1998-11-22","FABIANA SAMPAIO PINTO","813","2019-06-06","2019-12","1","ATIVO",,,,,"2019-07-12","2018-10-05",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"LEILA PEREIRA CARDOSO","703602093824837",,,"1989-08-19","DIVINA PEREIRA","912","2019-02-21","2019-12","1","ATIVO",,,,,"2019-09-02","2018-11-25",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"GRACIANA ARAUJO FONTELES","701205044628817","82736200268",,"1984-11-24","MARIA OLIVEIRA ARAUJO","949","2019-10-24","2019-12","1","ATIVO",,,,,"2020-05-14","2019-08-07",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"VALDETE SANTANA DOS REIS","704708754578133",,,"1979-03-25","MARIA ANTONIA SILVA DE SANTANA","998","2018-08-02","2019-12","1","ATIVO",,,,,"2019-01-05","2018-03-29",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"MELRYENE SANTOS COSTA","705003033678659",,,"1995-03-04","MARIA DO SOCORRO SANTOS SILVA","1007","2018-08-15","2019-12","1","INATIVO",,,,,"2019-02-27","2018-05-20",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"LEUZANIR GOMES","700006959918205","08065316140","20198617407","1994-02-10","ZULEIDE GOMES","1083","2018-11-06","2019-12","1","ATIVO",,,,,"2019-05-30","2018-08-23",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"ALINE MORAES DOS SANTOS","702605752785249",,,"1981-01-01","ANA MARIA MORAES DOS SANTOS","1132","2019-08-08","2019-12","1","ATIVO",,,,,"2020-01-25","2019-04-18",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"GRAZIELE VIEIRA DA SILVA","704709796776236",,,"1998-10-28","PAULA VIEIRA DA SILVA","1196","2018-10-04","2019-12","1","ATIVO",,,,,"2018-12-13","2018-03-06",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"NATALIA RAMOS DA SILVA","701800267855279","90946065268",,"1984-09-13","MARIA DO SOCORRO DE MORAIS RAMOS","1299","2019-06-25","2019-12","1","ATIVO",,,,,"2020-01-05","2019-03-29",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"VITORIA REGIA DE SOUSA CARDOSO","708601070814983",,,"1996-05-05","CREUSA DE SOUSA SALAZAR","1306","2018-08-16","2019-12","1","ATIVO",,,,,"2018-12-11","2018-03-04",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"JEICIANE URIZZI CESCONETO","708406712942868","91421616220",,"1989-09-19","CLARICE FERREIRA URIZZI","1332","2019-06-11","2019-12","1","ATIVO",,,,,"2020-01-02","2019-03-26",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"REGINA OLIVEIRA DE SOUZA","709608640392970","87225751204",,"1983-06-21","MARIA AUXILIADORA OLIVEIRA DE SOUZA","1364","2019-02-21","2019-12","1","ATIVO",,,,,"2019-06-03","2018-08-27",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"EDILENE DE SOUZA SILVA","706802273284523","77399641234",,"1984-07-06","DEUZANIRA DE SOUZA SILVA","1374","2019-08-29","2019-12","1","ATIVO",,,,,"2020-03-19","2019-06-12",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"FLAVIANA RODRIGUES MELO","706404116958883",,,"2001-04-23","ALZINETE ALZINETE","1438","2019-05-02","2019-12","1","ATIVO",,,,,"2019-12-11","2019-03-04",,"UNIDADE BASICA DE SAUDE DR SILVIO LEITE",
"FLAVIANA RODRIGUES MELO","706404116958883",,,"2001-04-23","ALZINETE ALZINETE","1438","2019-06-04","2019-12","1","ATIVO",,,,,"2019-12-11","2019-03-04",,"UNIDADE BASICA DE SAUDE DR SILVIO LEITE",
"ANA PAULA CAMPOS DA SILVA","708206620833142",,,"1987-02-08","MARLENE MARIA DA SILVA","1439","2018-07-05","2019-12","1","ATIVO",,,,,"2018-12-04","2018-02-25",,"UNIDADE BASICA DE SAUDE PROF MARIANO DE ANDRADE",
"ANA PAULA CAMPOS DA SILVA","708206620833142",,,"1987-02-08","MARLENE MARIA DA SILVA","1439","2018-07-05","2019-12","1","ATIVO",,,,,"2018-12-04","2018-02-25",,"UNIDADE BASICA DE SAUDE PROF MARIANO DE ANDRADE",
"PAULA PEREIRA MARTINS","708902747379312","01332829376",,"1986-12-24","GRACY PEREIRA MARTINS","1533","2019-06-13","2019-12","1","ATIVO",,,,,"2019-12-23","2019-03-16",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"KAROLLINY RODRIGUES CARVALHO","898002779635233",,,"2001-03-25","MARIA CLAUDIA OLIVEIRA DE CARVALHO","1544","2018-07-26","2019-12","1","ATIVO",,,,,"2018-09-24","2017-12-17",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"MEURILENE DA SILVA","702808699196168","05134916276","20654032518","2000-10-17","ROSIMEIRE SILVA DO NASCIMENTO","1581","2019-05-09","2019-12","1","ATIVO",,,,,"2019-10-22","2019-01-15",,"UNIDADE BASICA DE SAUDE HELIO MACEDO",
"MEURILENE DA SILVA","702808699196168","05134916276","20654032518","2000-10-17","ROSIMEIRE SILVA DO NASCIMENTO","1581","2019-04-08","2019-12","1","ATIVO",,,,,"2019-10-22","2019-01-15",,"UNIDADE BASICA DE SAUDE HELIO MACEDO",
"THAINA PEREIRA MACIEL","707809602534014",,,"1989-10-12","MARIA DO PERPETUO SOCORRO FURTADO PEREIRA","1604","2019-10-29","2019-12","1","ATIVO",,,,,"2020-05-22","2019-08-15",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"EUDIANE SHIRLEY FERNANDES CORREA","700501998435857",,,"1985-12-20","HELOISA HELENA FERNANDES CORREA","1793","2018-08-07","2019-12","1","ATIVO",,,,,"2019-01-24","2018-04-17",,"UNIDADE BASICA DE SAUDE CAMBARA",
"RITA DE CASSIA RIBEIRO ROCHA","701005876082999",,,"1982-05-11","MARIA ANTUNES RIBEIRO ROCHA","1806","2018-10-23","2019-12","1","ATIVO",,,,,"2019-04-08","2018-07-01",,"UNIDADE BASICA DE SAUDE CAMBARA",
"RITA DE CASSIA RIBEIRO ROCHA","701005876082999",,,"1982-05-11","MARIA ANTUNES RIBEIRO ROCHA","1806","2018-10-23","2019-12","1","ATIVO",,,,,"2019-04-08","2018-07-01",,"UNIDADE BASICA DE SAUDE CAMBARA",
"RITA DE CASSIA RIBEIRO ROCHA","701005876082999",,,"1982-05-11","MARIA ANTUNES RIBEIRO ROCHA","1806","2018-10-23","2019-12","1","ATIVO",,,,,"2019-04-08","2018-07-01",,"UNIDADE BASICA DE SAUDE CAMBARA",
"RITA DE CASSIA RIBEIRO ROCHA","701005876082999",,,"1982-05-11","MARIA ANTUNES RIBEIRO ROCHA","1806","2018-10-23","2019-12","1","ATIVO",,,,,"2019-04-08","2018-07-01",,"UNIDADE BASICA DE SAUDE CAMBARA",
"RITA DE CASSIA RIBEIRO ROCHA","701005876082999",,,"1982-05-11","MARIA ANTUNES RIBEIRO ROCHA","1806","2019-09-09","2019-12","1","ATIVO",,,,,"2019-04-08","2018-07-01",,"UNIDADE BASICA DE SAUDE CAMBARA",
"RITA DE CASSIA RIBEIRO ROCHA","701005876082999",,,"1982-05-11","MARIA ANTUNES RIBEIRO ROCHA","1806","2019-09-09","2019-12","1","ATIVO",,,,,"2019-04-08","2018-07-01",,"UNIDADE BASICA DE SAUDE CAMBARA",
"GESSILANA OLIVEIRA BARBOSA","708204110839848","01657254275",,"1993-11-12","ROSIMAR REGES DE OLIVEIRA","1814","2018-07-25","2019-12","1","ATIVO",,,,,"2019-04-02","2018-06-25",,"UNIDADE BASICA DE SAUDE CAMBARA",
"CRISTIANE AURELIANO DE OLIVEIRA","705601415220018","80439179220",,"1980-06-15","MARIA LUIZA REBOUCAS NASCIMENTO","1834","2019-07-03","2019-12","1","ATIVO",,,,,"2019-10-25","2019-01-18",,"UNIDADE BASICA DE SAUDE CAMBARA",
"JOCIANE PEREIRA FERNANDES","700000071488108","69860971234","16288016471","1981-06-15","FRANCISCA PEREIRA FERNANDES","1865","2019-02-15","2019-12","1","ATIVO",,,,,"2019-06-22","2018-09-15",,"UNIDADE BASICA DE SAUDE CAMBARA",
"JOCIANE PEREIRA FERNANDES","700000071488108","69860971234","16288016471","1981-06-15","FRANCISCA PEREIRA FERNANDES","1865","2019-06-26","2019-12","1","ATIVO",,,,,"2019-06-22","2018-09-15",,"UNIDADE BASICA DE SAUDE CAMBARA",
"LAYZSTHINER STHENIA RODRIGUES LIMA","704604621273428",,"20449681550","1993-12-10","IRENILZA RODRIGUES NASCIMENTO","1907","2018-10-04","2019-12","1","INATIVO",,,,,"2019-01-08","2018-04-01",,"UNIDADE BASICA DE SAUDE ASA BRANCA",
"LAYZSTHINER STHENIA RODRIGUES LIMA","704604621273428",,"20449681550","1993-12-10","IRENILZA RODRIGUES NASCIMENTO","1907","2019-11-07","2019-12","1","INATIVO",,,,,"2019-01-08","2018-04-01",,"UNIDADE BASICA DE SAUDE ASA BRANCA",
"MANUELA LUIZA DA SILVA","708002555138730","03517636274","16506319578","1998-10-09","OLINDA MARIA LUIZA","2027","2019-11-21","2019-12","1","ATIVO",,,,,"2020-06-17","2019-09-10",,"UNIDADE BASICA DE SAUDE CAMBARA",
"PAULA LAVINA SOUZA OLIVEIRA","704105018322450","03718520214",,"1998-08-23","GERLANE CRUZ SOUZA","2062","2019-04-09","2019-12","1","ATIVO",,,,,"2019-10-08","2019-01-01",,"UNIDADE BASICA DE SAUDE CAMBARA",
"PAULA LAVINA SOUZA OLIVEIRA","704105018322450","03718520214",,"1998-08-23","GERLANE CRUZ SOUZA","2062","2019-08-01","2019-12","1","ATIVO",,,,,"2019-10-08","2019-01-01",,"UNIDADE BASICA DE SAUDE CAMBARA",
"FRANCISCA CLAUDIA DA SILVA SOUSA","700000423343607",,,"1993-04-29","FRANCISCA DA CONCEICAO DA SILVA","2092","2019-05-10","2019-12","1","ATIVO",,,,,"2019-04-29","2018-07-22",,"UNIDADE BASICA DE SAUDE HELIO MACEDO",
"FRANCISCA CLAUDIA DA SILVA SOUSA","700000423343607",,,"1993-04-29","FRANCISCA DA CONCEICAO DA SILVA","2092","2018-11-27","2019-12","1","ATIVO",,,,,"2019-04-29","2018-07-22",,"UNIDADE BASICA DE SAUDE HELIO MACEDO",
"MYRTH CHARSSIANY OLIVEIRA SOLIGO","705009248610159","00147736277",,"1990-08-16","MARIA SENA DE OLIVEIRA","2104","2019-06-04","2019-12","1","ATIVO",,,,,"2020-01-13","2019-04-06",,"UNIDADE BASICA DE SAUDE CAMBARA",
"ROSIANE MELO TAVARES","700807413149289","85237086268",,"1983-08-22","MARIA OZETE MELO","2269","2019-01-07","2019-12","1","ATIVO",,,,,"2019-07-14","2018-10-07",,"UNIDADE BASICA DE SAUDE CAMBARA",
"ROSIANE MELO TAVARES","700807413149289","85237086268",,"1983-08-22","MARIA OZETE MELO","2269","2019-06-19","2019-12","1","ATIVO",,,,,"2019-07-14","2018-10-07",,"UNIDADE BASICA DE SAUDE CAMBARA",
"IRIS DAIANA LIRA DA SILVA","708201610198342",,,"1982-07-22","DESCONHECE MAE","2327","2019-10-15","2019-12","1","ATIVO",,,,,"2020-06-02","2019-08-26",,"UNIDADE BASICA DE SAUDE DR SILVIO LEITE",
"RAILANE SOUZA SALAZAR","706808256881522",,,"1996-11-20","CLEUDA DA CONCEICAO SILVA","2330","2019-01-08","2019-12","1","ATIVO",,,,,"2019-08-23","2018-11-16",,"UNIDADE BASICA DE SAUDE LUPERCIO LIMA FERREIRA",
"RAILANE SOUZA SALAZAR","706808256881522",,,"1996-11-20","CLEUDA DA CONCEICAO SILVA","2330","2019-05-22","2019-12","1","ATIVO",,,,,"2019-08-23","2018-11-16",,"UNIDADE BASICA DE SAUDE LUPERCIO LIMA FERREIRA",
"LENIR RAQUEL DE SOUSA MATOS","704204261723684",,,"1983-04-18","MARIA DO DESTERRO DE SOUSA MATOS","2367","2019-01-18","2019-12","1","INATIVO",,,,,"2019-08-05","2018-10-29",,"UNIDADE BASICA DE SAUDE ARMINDA GOMES",
"LUANA ALVES DO ROSARIO DA SILVA","705607403322517",,"20173680830","1997-04-05","CIBELONIA ALVES DO ROSARIO","2380","2019-01-03","2019-12","1","INATIVO",,,,,"2019-07-28","2018-10-21",,"UNIDADE BASICA DE SAUDE ASA BRANCA",
"YASMIN DA SILVA ARAUJO","700003235957809",,,"1992-11-24","JULIETA HONORATO DA SILVA","2452","2019-05-31","2019-12","1","ATIVO",,,,,"2020-01-07","2019-03-31",,"UNIDADE BASICA DE SAUDE LUPERCIO LIMA FERREIRA",
"KATIELY SILVA ALMEIDA","702901575895075",,,"1996-08-26","ROSILENE SILVA","2607","2019-01-29","2019-12","1","ATIVO",,,,,"2019-09-17","2018-12-10",,"UNIDADE BASICA DE SAUDE CAMBARA",
"MARCELANE DA SILVA BALAO","706702549032915",,,"1981-10-19","MARIA DE NAZARE BANDEIRA DA SILVA","2636","2018-11-21","2019-12","1","ATIVO",,,,,"2019-07-20","2018-10-13",,"UNIDADE BASICA DE SAUDE AYGARA MOTTA PEREIRA",
"MARCELANE DA SILVA BALAO","706702549032915",,,"1981-10-19","MARIA DE NAZARE BANDEIRA DA SILVA","2636","2019-05-24","2019-12","1","ATIVO",,,,,"2019-07-20","2018-10-13",,"UNIDADE BASICA DE SAUDE AYGARA MOTTA PEREIRA",
"BRUNA CRECIA LOURENCO SOARES","706907196011932",,,"1997-11-20","JUCICLEIA LOURENCO PEREIRA","2728","2018-09-18","2019-12","1","ATIVO",,,,,"2019-10-08","2019-01-01",,"UNIDADE BASICA DE SAUDE EQUATORIAL",
"BRUNA CRECIA LOURENCO SOARES","706907196011932",,,"1997-11-20","JUCICLEIA LOURENCO PEREIRA","2728","2019-05-17","2019-12","1","ATIVO",,,,,"2019-10-08","2019-01-01",,"UNIDADE BASICA DE SAUDE EQUATORIAL",
"SIMONE OLIVEIRA DA SILVA","700503507952254","78924316249","16599487689","1985-01-10","HELENA MARIA OLIVEIRA DA SILVA","2732","2018-08-15","2019-12","1","ATIVO",,,,,"2018-11-17","2018-02-10",,"UNIDADE BASICA DE SAUDE CAMBARA",
"NAIARA BARBOSA DA SILVA","701000834614998","00504784277",,"1991-11-18","MARLENE BARBOSA DA SILVA","2758","2018-08-03","2019-12","1","INATIVO",,,,,"2018-10-12","2018-01-05",,"UNIDADE BASICA DE SAUDE CAMBARA",
"NAIARA BARBOSA DA SILVA","701000834614998","00504784277",,"1991-11-18","MARLENE BARBOSA DA SILVA","2758","2019-11-27","2019-12","1","INATIVO",,,,,"2018-10-12","2018-01-05",,"UNIDADE BASICA DE SAUDE CAMBARA",
"SORAIA OLIVEIRA SILVA","706705535461412","01220081205",,"1988-06-22","MARIA SILVANA DE OLIVEIRA SILVA","2789","2018-10-31","2019-12","1","ATIVO",,,,,"2018-10-27","2018-01-20",,"UNIDADE BASICA DE SAUDE CAMBARA",
"JANECY BRAZ DUARTE","706206006898766",,,"1994-10-01","MARACI BRAZ","2953","2018-12-18","2019-12","1","ATIVO",,,,,"2019-07-13","2018-10-06",,"UNIDADE BASICA DE SAUDE CAMBARA",
"JANECY BRAZ DUARTE","706206006898766",,,"1994-10-01","MARACI BRAZ","2953","2019-05-29","2019-12","1","ATIVO",,,,,"2019-07-13","2018-10-06",,"UNIDADE BASICA DE SAUDE CAMBARA",
"LEIDIANE DA SILVA BARROS","704602642976329",,,"1993-06-25","LORENI JOSE DA SILVA","2987","2019-11-05","2019-12","1","ATIVO",,,,,"2020-05-08","2019-08-01",,"UNIDADE BASICA DE SAUDE CAMBARA",
"INAYARA DE OLIVEIRA PINHEIRO","898004108299657",,,"1997-09-15","MARIA CLAUDIA","2995","2019-08-27","2019-12","1","ATIVO",,,,,"2019-12-10","2019-03-03",,"UNIDADE BASICA DE SAUDE CAMBARA",
"NUBIANA DA SILVA MELO","707408010058775","02254289209","20988576699","1993-04-25","LUCILENE DA SILVA CRUZ","3049","2018-07-26","2019-12","1","ATIVO",,,,,"2018-11-20","2018-02-13",,"UNIDADE BASICA DE SAUDE DR. DIMITRI RAMOS GRANDEZ DE ARAUJO",
"EVELYN DAYANE VIANA NEVES","701100818419980","00508147298",,"1991-10-21","SANTISSIMA VIANA DE ALMEIDA","3115","2018-08-14","2019-12","1","INATIVO",,,,,"2019-02-12","2018-05-05",,"UNIDADE BASICA DE SAUDE CAMBARA",
"IRNAIRA DE SOUZA MARQUES","700007413343201",,"20452444475","1994-09-04","MARIA LUCIA DE SOUZA MARQUES","3224","2018-08-30","2019-12","1","INATIVO",,,,,"2019-02-13","2018-05-06",,"UNIDADE BASICA DE SAUDE ASA BRANCA",
"GEISA DE OLIVEIRA LANCONI","702407034350628","66931266268",,"1979-11-25","VALDECIRIA SILVA DE OLIVEIRA","3300","2019-09-09","2019-12","1","ATIVO",,,,,"2020-04-27","2019-07-20",,"UNIDADE BASICA DE SAUDE 31 DE MARCO",
"ANDRIELY ALINE MACHADO ALVES","702806670939969",,,"1998-10-15","ANA CLAUDIA SOUZA MACHADO","3315","2019-10-29","2019-12","1","INATIVO",,,,,"2020-07-04","2019-09-27",,"UNIDADE BASICA DE SAUDE CAMBARA",
"MARCIA VILHENA DE OLIVEIRA","704105150869070",,,"1982-03-07","JOVITA DO SOCORRO VILHENADE OLIVEIRA","3325","2018-08-08","2019-12","1","ATIVO",,,,,"2018-10-10","2018-01-03",,"UNIDADE BASICA DE SAUDE CAMBARA",
"ELISAMA THALITA DA SILVA SOUZA","700507528369454","00155283243",,"1995-09-05","FRANCISCA DA SILVA SOUZA","3342","2019-07-23","2019-12","1","ATIVO",,,,,"2020-03-15","2019-06-08",,"UNIDADE BASICA DE SAUDE DR SILVIO LEITE",
"LEILDA GOMES SOUSA","706202005317464","99051044291",,"1987-07-29","MARIA RITA GOMES SOUSA","3345","2018-08-15","2019-12","1","INATIVO",,,,,"2019-02-28","2018-05-22",,"UNIDADE BASICA DE SAUDE CAMBARA",
"MONICA RAYSSA LIMA PINTO DOS SANTOS","706201596790468","00390842214","16444384002","2002-01-22","NINA LENI LIMA DA SILVA","3395","2019-06-07","2019-12","1","ATIVO",,,,,"2020-02-08","2019-05-01",,"UNIDADE BASICA DE SAUDE LUPERCIO LIMA FERREIRA",
"DEUZIANE SOUZA URBANO","700002781130405","81403585253","12601847664","1982-10-25","VALDEIA NASCIMENTO DE SOUZA","3408","2018-12-28","2019-12","1","ATIVO",,,,,"2019-03-21","2018-06-14",,"UNIDADE BASICA DE SAUDE AYGARA MOTTA PEREIRA",
"DEUZIANE SOUZA URBANO","700002781130405","81403585253","12601847664","1982-10-25","VALDEIA NASCIMENTO DE SOUZA","3408","2019-10-21","2019-12","1","ATIVO",,,,,"2019-03-21","2018-06-14",,"UNIDADE BASICA DE SAUDE AYGARA MOTTA PEREIRA",
"LUYULLA LIMA AGUIAR","700504706344956",,,"2000-07-29","MARIA DE JESUS FARIAS LIMA","3586","2019-06-19","2019-12","1","ATIVO",,,,,"2020-02-04","2019-04-27",,"UNIDADE BASICA DE SAUDE CAMBARA",
"MAXIE BETANIA CUNZO PATETE","708204113116642","71092918124",,"1993-10-08","XIOMARA INDIRA PATETE MORENO","3609","2018-10-16","2019-12","1","ATIVO",,,,,"2019-06-09","2018-09-02",,"UNIDADE BASICA DE SAUDE CAMBARA",
"MAXIE BETANIA CUNZO PATETE","708204113116642","71092918124",,"1993-10-08","XIOMARA INDIRA PATETE MORENO","3609","2019-05-17","2019-12","1","ATIVO",,,,,"2019-06-09","2018-09-02",,"UNIDADE BASICA DE SAUDE CAMBARA",
"JESSIANE MACIEL LIMA","704602172202020","00830258205","16258057994","1995-05-02","SIDILENE MACIEL","3616","2019-02-28","2019-12","1","ATIVO",,,,,"2019-09-15","2018-12-08",,"UNIDADE BASICA DE SAUDE LUPERCIO LIMA FERREIRA",
"JESSIANE MACIEL LIMA","704602172202020","00830258205","16258057994","1995-05-02","SIDILENE MACIEL","3616","2019-06-05","2019-12","1","ATIVO",,,,,"2019-09-15","2018-12-08",,"UNIDADE BASICA DE SAUDE CAMBARA",
